[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
πεπεισμαι,G3982,V-RPI-1S,verb perfect passive indicative first person singular,agree
πεπεισμεθα,G3982,V-RPI-1P,verb perfect passive indicative first person plural,agree
πεπεισμενος,G3982,V-RPP-NSM,verb perfect passive participle nominative singular masculine,agree
πεπελεκισμενων,G3990,V-RPP-GPM,verb perfect passive participle genitive plural masculine,behead
πεπιεσμενον,G4085,V-RPP-ASN,verb perfect passive participle accusative singular neuter,press down
πεπιστευκα,G4100,V-RAI-1S,verb perfect active indicative first person singular,believer
πεπιστευκαμεν,G4100,V-RAI-1P,verb perfect active indicative first person plural,believer
πεπιστευκας,G4100,V-RAI-2S,verb perfect active indicative second person singular,believer
πεπιστευκατε,G4100,V-RAI-2P,verb perfect active indicative second person plural,believer
πεπιστευκεισαν,G4100,V-LAI-3P,verb pluperfect active indicative third person plural,believer
πεπιστευκεν,G4100,V-RAI-3S,verb perfect active indicative third person singular,believer
πεπιστευκοσιν,G4100,V-RAP-DPM,verb perfect active participle dative plural masculine,believer
πεπιστευκοτας,G4100,V-RAP-APM,verb perfect active participle accusative plural masculine,believer
πεπιστευκοτες,G4100,V-RAP-NPM,verb perfect active participle nominative plural masculine,believer
πεπιστευκοτων,G4100,V-RAP-GPM,verb perfect active participle genitive plural masculine,believer
πεπιστευκοτων,G4100,V-RAP-GPN,verb perfect active participle genitive plural neuter,believer
πεπιστευκως,G4100,V-RAP-NSM,verb perfect active participle nominative singular masculine,believer
πεπιστευμαι,G4100,V-RPI-1S,verb perfect passive indicative first person singular,believer
πεπλανημενοις,G4105,V-RPP-DPN,verb perfect passive participle dative plural neuter,go astray
πεπλανησθε,G4105,V-RPI-2P,verb perfect passive indicative second person plural,go astray
πεπλατυνται,G4115,V-RPI-3S,verb perfect passive indicative third person singular,make broad
πεπληροφορημενοι,G4135,V-RPP-NPM,verb perfect passive participle nominative plural masculine,most surely believe
πεπληροφορημενων,G4135,V-RPP-GPN,verb perfect passive participle genitive plural neuter,most surely believe
πεπληρωκατε,G4137,V-RAI-2P,verb perfect active indicative second person plural,accomplish
πεπληρωκεν,G4137,V-RAI-3S,verb perfect active indicative third person singular,accomplish
πεπληρωκεναι,G4137,V-RAN,verb perfect active infinitive,accomplish
πεπληρωμαι,G4137,V-RPI-1S,verb perfect passive indicative first person singular,accomplish
πεπληρωμενα,G4137,V-RPP-APN,verb perfect passive participle accusative plural neuter,accomplish
πεπληρωμενη,G4137,V-RPP-NSF,verb perfect passive participle nominative singular feminine,accomplish
πεπληρωμενην,G4137,V-RPP-ASF,verb perfect passive participle accusative singular feminine,accomplish
πεπληρωμενοι,G4137,V-RPP-NPM,verb perfect passive participle nominative plural masculine,accomplish
πεπληρωμενους,G4137,V-RPP-APM,verb perfect passive participle accusative plural masculine,accomplish
πεπληρωται,G4137,V-RPI-3S,verb perfect passive indicative third person singular,accomplish
πεπλουτηκα,G4147,V-RAI-1S,verb perfect active indicative first person singular,be increased with goods
πεποιηκα,G4160,V-RAI-1S,verb perfect active indicative first person singular,abide
πεποιηκαμεν,G4160,V-RAI-1P,verb perfect active indicative first person plural,abide
πεποιηκατε,G4160,V-RAI-2P,verb perfect active indicative second person plural,abide
πεποιηκεισαν,G4160,V-LAI-3P,verb pluperfect active indicative third person plural,abide
πεποιηκεν,G4160,V-RAI-3S,verb perfect active indicative third person singular,abide
πεποιηκεναι,G4160,V-RAN,verb perfect active infinitive,abide
πεποιηκοσιν,G4160,V-RAP-DPM,verb perfect active participle dative plural masculine,abide
πεποιηκοτες,G4160,V-RAP-NPM,verb perfect active participle nominative plural masculine,abide
πεποιηκοτος,G4160,V-RAP-GSM,verb perfect active participle genitive singular masculine,abide
πεποιηκως,G4160,V-RAP-NSM,verb perfect active participle nominative singular masculine,abide
πεποιημενων,G4160,V-RPP-GPN,verb perfect passive participle genitive plural neuter,abide
πεποιθα,G3982,V-2RAI-1S,verb second perfect active indicative first person singular,agree
πεποιθαμεν,G3982,V-2RAI-1P,verb second perfect active indicative first person plural,agree
πεποιθας,G3982,V-2RAI-2S,verb second perfect active indicative second person singular,agree
πεποιθεν,G3982,V-2RAI-3S,verb second perfect active indicative third person singular,agree
πεποιθεναι,G3982,V-2RAN,verb second perfect active infinitive,agree
πεποιθησει,G4006,N-DSF,noun dative singular feminine,confidence
πεποιθησιν,G4006,N-ASF,noun accusative singular feminine,confidence
πεποιθοτας,G3982,V-2RAP-APM,verb second perfect active participle accusative plural masculine,agree
πεποιθοτες,G3982,V-2RAP-NPM,verb second perfect active participle nominative plural masculine,agree
πεποιθως,G3982,V-2RAP-NSM,verb second perfect active participle nominative singular masculine,agree
πεπολιτευμαι,G4176,V-RPI-1S,verb perfect passive indicative first person singular,let conversation be
πεπονθασιν,G3958,V-2RAI-3P,verb second perfect active indicative third person plural,feel
πεπονθεν,G3958,V-2RAI-3S,verb second perfect active indicative third person singular,feel
πεπορευμενους,G4198,V-RNP-APM,verb perfect middle or passive deponent participle accusative plural masculine,depart
πεποτικεν,G4222,V-RAI-3S,verb perfect active indicative third person singular,give make to drink
πεπραγμενον,G4238,V-RPP-NSN,verb perfect passive participle nominative singular neuter,commit
πεπρακεν,G4097,V-RAI-3S,verb perfect active indicative third person singular,sell
πεπραμενος,G4097,V-RPP-NSM,verb perfect passive participle nominative singular masculine,sell
πεπραχα,G4238,V-RAI-1S,verb perfect active indicative first person singular,commit
πεπραχεναι,G4238,V-RAN,verb perfect active infinitive,commit
πεπτωκες,G4098,V-RAI-2S,verb perfect active indicative second person singular,fail
πεπτωκοτα,G4098,V-RAP-ASM,verb perfect active participle accusative singular masculine,fail
πεπτωκυιαν,G4098,V-RAP-ASF,verb perfect active participle accusative singular feminine,fail
πεπυρωμενα,G4448,V-RPP-APN,verb perfect passive participle accusative plural neuter,burn
πεπυρωμενον,G4448,V-RPP-ASN,verb perfect passive participle accusative singular neuter,burn
πεπυρωμενω,G4448,V-RPP-DSN,verb perfect passive participle dative singular neuter,burn
πεπωκαν,G4095,V-RAI-3P,verb perfect active indicative third person plural,drink
πεπωρωμενη,G4456,V-RPP-NSF,verb perfect passive participle nominative singular feminine,blind
πεπωρωμενην,G4456,V-RPP-ASF,verb perfect passive participle accusative singular feminine,blind
περαν,G4008,ADV,adverb,beyond
περας,G4009,N-NSN,noun nominative singular neuter,end
περατα,G4009,N-APN,noun accusative plural neuter,end
περατων,G4009,N-GPN,noun genitive plural neuter,end
περγαμον,G4010,N-ASF,noun accusative singular feminine,Pergamos
περγαμω,G4010,N-DSF,noun dative singular feminine,Pergamos
περγην,G4011,N-ASF,noun accusative singular feminine,Perga
περγης,G4011,N-GSF,noun genitive singular feminine,Perga
περι,G4012,PREP,preposition,thereabout
περιαγειν,G4013,V-PAN,verb present active infinitive,compass
περιαγετε,G4013,V-PAI-2P,verb present active indicative second person plural,compass
περιαγων,G4013,V-PAP-NSM,verb present active participle nominative singular masculine,compass
περιαιρειται,G4014,V-PPI-3S,verb present passive indicative third person singular,take away up
περιαστραψαι,G4015,V-AAN,verb aorist active infinitive,shine round about
περιαψαντων,G681,V-AAP-GPM,verb aorist active participle genitive plural masculine,kindle
περιβαλειται,G4016,V-FMI-3S,verb future middle indicative third person singular,array
περιβαλη,G4016,V-2AMS-2S,verb second aorist middle subjunctive second person singular,array
περιβαληται,G4016,V-2AMS-3S,verb second aorist middle subjunctive third person singular,array
περιβαλου,G4016,V-2AMM-2S,verb second aorist middle imperative second person singular,array
περιβαλωμεθα,G4016,V-2AMS-1P,verb second aorist middle subjunctive first person plural,array
περιβαλων,G4016,V-2AAP-NSM,verb second aorist active participle nominative singular masculine,array
περιβεβλημενη,G4016,V-RPP-NSF,verb perfect passive participle nominative singular feminine,array
περιβεβλημενοι,G4016,V-RPP-NPM,verb perfect passive participle nominative plural masculine,array
περιβεβλημενον,G4016,V-RPP-ASM,verb perfect passive participle accusative singular masculine,array
περιβεβλημενος,G4016,V-RPP-NSM,verb perfect passive participle nominative singular masculine,array
περιβεβλημενους,G4016,V-RPP-APM,verb perfect passive participle accusative plural masculine,array
περιβλεψαμενοι,G4017,V-AMP-NPM,verb aorist middle participle nominative plural masculine,look round about on
περιβλεψαμενος,G4017,V-AMP-NSM,verb aorist middle participle nominative singular masculine,look round about on
περιβολαιον,G4018,N-ASN,noun accusative singular neuter,clothing
περιβολαιου,G4018,N-GSN,noun genitive singular neuter,clothing
περιεβαλετε,G4016,V-2AAI-2P,verb second aorist active indicative second person plural,array
περιεβαλετο,G4016,V-2AMI-3S,verb second aorist middle indicative third person singular,array
περιεβαλομεν,G4016,V-2AAI-1P,verb second aorist active indicative first person plural,array
περιεβαλον,G4016,V-2AAI-3P,verb second aorist active indicative third person plural,array
περιεβλεπετο,G4017,V-IMI-3S,verb imperfect middle indicative third person singular,look round about on
περιεδεδετο,G4019,V-LPI-3S,verb pluperfect passive indicative third person singular,bind about
περιεδραμον,G4063,V-AAI-3P,verb aorist active indicative third person plural,run through
περιεζωσμεναι,G4024,V-RPP-NPF,verb perfect passive participle nominative plural feminine,gird about
περιεζωσμενοι,G4024,V-RPP-NPM,verb perfect passive participle nominative plural masculine,gird about
περιεζωσμενον,G4024,V-RPP-ASM,verb perfect passive participle accusative singular masculine,gird about
περιεθηκαν,G4060,V-AAI-3P,verb aorist active indicative third person plural,bestow upon
περιεθηκεν,G4060,V-AAI-3S,verb aorist active indicative third person singular,bestow upon
περιεκρυβεν,G4032,V-IAI-3S,verb imperfect active indicative third person singular,hide
περιελαμψεν,G4034,V-AAI-3S,verb aorist active indicative third person singular,shine round about
περιελειν,G4014,V-2AAN,verb second aorist active infinitive,take away up
περιελθοντες,G4022,V-2AAP-NPM,verb second aorist active participle nominative plural masculine,fetch a compass
περιελοντες,G4014,V-2AAP-NPM,verb second aorist active participle nominative plural masculine,take away up
περιεπατει,G4043,V-IAI-3S,verb imperfect active indicative third person singular,we walk
περιεπατεις,G4043,V-IAI-2S,verb imperfect active indicative second person singular,we walk
περιεπατησαμεν,G4043,V-AAI-1P,verb aorist active indicative first person plural,we walk
περιεπατησατε,G4043,V-AAI-2P,verb aorist active indicative second person plural,we walk
περιεπατησεν,G4043,V-AAI-3S,verb aorist active indicative third person singular,we walk
περιεπατουν,G4043,V-IAI-3P,verb imperfect active indicative third person plural,we walk
περιεπειραν,G4044,V-AAI-3P,verb aorist active indicative third person plural,pierce through
περιεπεσεν,G4045,V-2AAI-3S,verb second aorist active indicative third person singular,fall among into
περιεποιησατο,G4046,V-AMI-3S,verb aorist middle indicative third person singular,purchase
περιεργα,G4021,A-APN,adjective accusative plural neuter,busybody
περιεργαζομενους,G4020,V-PNP-APM,verb present middle or passive deponent participle accusative plural masculine,be a busybody
περιεργοι,G4021,A-NPF,adjective nominative plural feminine,busybody
περιερχομεναι,G4022,V-PNP-NPF,verb present middle or passive deponent participle nominative plural feminine,fetch a compass
περιερχομενων,G4022,V-PNP-GPM,verb present middle or passive deponent participle genitive plural masculine,fetch a compass
περιεσπατο,G4049,V-IPI-3S,verb imperfect passive indicative third person singular,cumber
περιεστησαν,G4026,V-2AAI-3P,verb second aorist active indicative third person plural,avoid
περιεστωτα,G4026,V-RAP-ASM,verb perfect active participle accusative singular masculine,avoid
περιεσχεν,G4023,V-2AAI-3S,verb second aorist active indicative third person singular,astonished
περιετεμεν,G4059,V-2AAI-3S,verb second aorist active indicative third person singular,circumcise
περιετμηθητε,G4059,V-API-2P,verb aorist passive indicative second person plural,circumcise
περιεχει,G4023,V-PAI-3S,verb present active indicative third person singular,astonished
περιζωσαμενοι,G4024,V-AMP-NPM,verb aorist middle participle nominative plural masculine,gird about
περιζωσαμενος,G4024,V-AMP-NSM,verb aorist middle participle nominative singular masculine,gird about
περιζωσεται,G4024,V-FMI-3S,verb future middle indicative third person singular,gird about
περιηγεν,G4013,V-IAI-3S,verb imperfect active indicative third person singular,compass
περιηλθον,G4022,V-2AAI-3P,verb second aorist active indicative third person plural,fetch a compass
περιηρειτο,G4014,V-IPI-3S,verb imperfect passive indicative third person singular,take away up
περιηστραψεν,G4015,V-AAI-3S,verb aorist active indicative third person singular,shine round about
περιθεις,G4060,V-2AAP-NSM,verb second aorist active participle nominative singular masculine,bestow upon
περιθεντες,G4060,V-2AAP-NPM,verb second aorist active participle nominative plural masculine,bestow upon
περιθεσεως,G4025,N-GSF,noun genitive singular feminine,wearing
περιιστασο,G4026,V-PMM-2S,verb present middle imperative second person singular,avoid
περικαθαρματα,G4027,N-NPN,noun nominative plural neuter,filth
περικαλυπτειν,G4028,V-PAN,verb present active infinitive,blindfold
περικαλυψαντες,G4028,V-AAP-NPM,verb aorist active participle nominative plural masculine,blindfold
περικειμαι,G4029,V-PNI-1S,verb present middle or passive deponent indicative first person singular,be bound compassed with
περικειμενον,G4029,V-PNP-ASN,verb present middle or passive deponent participle accusative singular neuter,be bound compassed with
περικειται,G4029,V-PNI-3S,verb present middle or passive deponent indicative third person singular,be bound compassed with
περικεκαλυμμενην,G4028,V-RPP-ASF,verb perfect passive participle accusative singular feminine,blindfold
περικεφαλαιαν,G4030,N-ASF,noun accusative singular feminine,helmet
περικρατεις,G4031,A-NPM,adjective nominative plural masculine,come by
περικυκλωσουσιν,G4033,V-FAI-3P,verb future active indicative third person plural,compass round
περιλαμψαν,G4034,V-AAP-ASN,verb aorist active participle accusative singular neuter,shine round about
περιλειπομενοι,G4035,V-POP-NPM,verb present passive deponent participle nominative plural masculine,remain
περιλυπος,G4036,A-NSF,adjective nominative singular feminine,exceeding very sorryowful
περιλυπος,G4036,A-NSM,adjective nominative singular masculine,exceeding very sorryowful
περιμενειν,G4037,V-PAN,verb present active infinitive,wait for
περιξ,G4038,ADV,adverb,round about
περιοικοι,G4040,A-NPM,adjective nominative plural masculine,neighbour
περιοικουντας,G4039,V-PAP-APM,verb present active participle accusative plural masculine,dwell round about
περιουσιον,G4041,A-ASM,adjective accusative singular masculine,peculiar
περιοχη,G4042,N-NSF,noun nominative singular feminine,place
περιπατει,G4043,V-PAM-2S,verb present active imperative second person singular,we walk
περιπατει,G4043,V-PAI-3S,verb present active indicative third person singular,we walk
περιπατειν,G4043,V-PAN,verb present active infinitive,we walk
περιπατεις,G4043,V-PAI-2S,verb present active indicative second person singular,we walk
περιπατειτε,G4043,V-PAM-2P,verb present active imperative second person plural,we walk
περιπατειτε,G4043,V-PAI-2P,verb present active indicative second person plural,we walk
περιπατειτω,G4043,V-PAM-3S,verb present active imperative third person singular,we walk
περιπατη,G4043,V-PAS-3S,verb present active subjunctive third person singular,we walk
περιπατησαι,G4043,V-AAN,verb aorist active infinitive,we walk
περιπατηση,G4043,V-AAS-3S,verb aorist active subjunctive third person singular,we walk
περιπατησουσιν,G4043,V-FAI-3P,verb future active indicative third person plural,we walk
περιπατησωμεν,G4043,V-AAS-1P,verb aorist active subjunctive first person plural,we walk
περιπατητε,G4043,V-PAS-2P,verb present active subjunctive second person plural,we walk
περιπατουμεν,G4043,V-PAI-1P,verb present active indicative first person plural,we walk
περιπατουντα,G4043,V-PAP-ASM,verb present active participle accusative singular masculine,we walk
περιπατουντα,G4043,V-PAP-APN,verb present active participle accusative plural neuter,we walk
περιπατουντας,G4043,V-PAP-APM,verb present active participle accusative plural masculine,we walk
περιπατουντες,G4043,V-PAP-NPM,verb present active participle nominative plural masculine,we walk
περιπατουντι,G4043,V-PAP-DSM,verb present active participle dative singular masculine,we walk
περιπατουντος,G4043,V-PAP-GSM,verb present active participle genitive singular masculine,we walk
περιπατουσιν,G4043,V-PAI-3P,verb present active indicative third person plural,we walk
περιπατουσιν,G4043,V-PAP-DPM,verb present active participle dative plural masculine,we walk
περιπατωμεν,G4043,V-PAS-1P,verb present active subjunctive first person plural,we walk
περιπατων,G4043,V-PAP-NSM,verb present active participle nominative singular masculine,we walk
περιπεσητε,G4045,V-2AAS-2P,verb second aorist active subjunctive second person plural,fall among into
περιπεσοντες,G4045,V-2AAP-NPM,verb second aorist active participle nominative plural masculine,fall among into
περιποιησασθαι,G4046,V-AMN,verb aorist middle infinitive,purchase
περιποιησεως,G4047,N-GSF,noun genitive singular feminine,obtaining
περιποιησιν,G4047,N-ASF,noun accusative singular feminine,obtaining
περιποιουνται,G4046,V-PMI-3P,verb present middle indicative third person plural,purchase
περιρεραμμενον,G4472,V-RPR-ASN,verb perfect passive imperative participle accusative singular neuter,sprinkle
περιρηξαντες,G4048,V-AAP-NPM,verb aorist active participle nominative plural masculine,rend off
περισσεια,G4050,N-NSF,noun nominative singular feminine,abundanceant
περισσειαν,G4050,N-ASF,noun accusative singular feminine,abundanceant
περισσευει,G4052,V-PAI-3S,verb present active indicative third person singular,make
περισσευειν,G4052,V-PAN,verb present active infinitive,make
περισσευετε,G4052,V-PAI-2P,verb present active indicative second person plural,make
περισσευη,G4052,V-PAS-3S,verb present active subjunctive third person singular,make
περισσευητε,G4052,V-PAS-2P,verb present active subjunctive second person plural,make
περισσευθησεται,G4052,V-FPI-3S,verb future passive indicative third person singular,make
περισσευμα,G4051,N-NSN,noun nominative singular neuter,abundance
περισσευματα,G4051,N-APN,noun accusative plural neuter,abundance
περισσευματος,G4051,N-GSN,noun genitive singular neuter,abundance
περισσευομεν,G4052,V-PAI-1P,verb present active indicative first person plural,make
περισσευον,G4052,V-PAP-ASN,verb present active participle accusative singular neuter,make
περισσευοντες,G4052,V-PAP-NPM,verb present active participle nominative plural masculine,make
περισσευοντος,G4052,V-PAP-GSN,verb present active participle genitive singular neuter,make
περισσευουσα,G4052,V-PAP-NSF,verb present active participle nominative singular feminine,make
περισσευουσιν,G4052,V-PAI-3P,verb present active indicative third person plural,make
περισσευσαι,G4052,V-AAN,verb aorist active infinitive,make
περισσευσαι,G4052,V-AAO-3S,verb aorist active optative third person singular,make
περισσευσαν,G4052,V-AAP-NSN,verb aorist active participle nominative singular neuter,make
περισσευσαντα,G4052,V-AAP-APN,verb aorist active participle accusative plural neuter,make
περισσευση,G4052,V-AAS-3S,verb aorist active subjunctive third person singular,make
περισσευω,G4052,V-PAI-1S,verb present active indicative first person singular,make
περισσον,G4053,A-NSN,adjective nominative singular neuter,exceeding abundantly above
περισσον,G4053,A-ASN,adjective accusative singular neuter,exceeding abundantly above
περισσοτερα,G4053,A-DSF-C,adjective dative singular feminine,exceeding abundantly above
περισσοτεραν,G4053,A-ASF-C,adjective accusative singular feminine,exceeding abundantly above
περισσοτερον,G4054,ADV-C,adverb undefined undefined,more abundantly
περισσοτερον,G4055,A-NSN-C,adjective nominative singular neuter,more abundant
περισσοτερον,G4055,A-ASN-C,adjective accusative singular neuter,more abundant
περισσοτερον,G4055,A-ASM-C,adjective accusative singular masculine,more abundant
περισσοτερως,G4056,ADV-C,adverb undefined undefined,more abundantly
περισσου,G4053,A-GSN,adjective genitive singular neuter,exceeding abundantly above
περισσως,G4057,ADV,adverb,exceedingly
περιστεραι,G4058,N-NPF,noun nominative plural feminine,dove
περιστεραν,G4058,N-ASF,noun accusative singular feminine,dove
περιστερας,G4058,N-APF,noun accusative plural feminine,dove
περιστερων,G4058,N-GPF,noun genitive plural feminine,dove
περιτεμειν,G4059,V-2AAN,verb second aorist active infinitive,circumcise
περιτεμνειν,G4059,V-PAN,verb present active infinitive,circumcise
περιτεμνεσθαι,G4059,V-PPN,verb present passive infinitive,circumcise
περιτεμνεσθω,G4059,V-PPM-3S,verb present passive imperative third person singular,circumcise
περιτεμνετε,G4059,V-PAI-2P,verb present active indicative second person plural,circumcise
περιτεμνησθε,G4059,V-PPS-2P,verb present passive subjunctive second person plural,circumcise
περιτεμνομενοι,G4059,V-PPP-NPM,verb present passive participle nominative plural masculine,circumcise
περιτεμνομενω,G4059,V-PPP-DSM,verb present passive participle dative singular masculine,circumcise
περιτετμημενος,G4059,V-RPP-NSM,verb perfect passive participle nominative singular masculine,circumcise
περιτιθεασιν,G4060,V-PAI-3P,verb present active indicative third person plural,bestow upon
περιτιθεμεν,G4060,V-PAI-1P,verb present active indicative first person plural,bestow upon
περιτμηθηναι,G4059,V-APN,verb aorist passive infinitive,circumcise
περιτμηθητε,G4059,V-APS-2P,verb aorist passive subjunctive second person plural,circumcise
περιτομη,G4061,N-NSF,noun nominative singular feminine,X circumcised
περιτομη,G4061,N-DSF,noun dative singular feminine,X circumcised
περιτομην,G4061,N-ASF,noun accusative singular feminine,X circumcised
περιτομης,G4061,N-GSF,noun genitive singular feminine,X circumcised
περιτρεπει,G4062,V-PAI-3S,verb present active indicative third person singular,make mad
περιφερειν,G4064,V-PAN,verb present active infinitive,bear carry about
περιφερομενοι,G4064,V-PPP-NPM,verb present passive participle nominative plural masculine,bear carry about
περιφεροντες,G4064,V-PAP-NPM,verb present active participle nominative plural masculine,bear carry about
περιφρονειτω,G4065,V-PAM-3S,verb present active imperative third person singular,despise
περιχωρον,G4066,A-ASF,adjective accusative singular feminine,country round about
περιχωρος,G4066,A-NSF,adjective nominative singular feminine,country round about
περιχωρου,G4066,A-GSF,adjective genitive singular feminine,country round about
περιχωρω,G4066,A-DSF,adjective dative singular feminine,country round about
περιψημα,G4067,N-NSN,noun nominative singular neuter,offscouring
περπερευεται,G4068,V-PNI-3S,verb present middle or passive deponent indicative third person singular,vaunt itself
περσιδα,G4069,N-ASF,noun accusative singular feminine,Persis
περυσι,G4070,ADV,adverb,a year ago
πεσατε,G4098,V-AAM-2P,verb aorist active imperative second person plural,fail
πεσειν,G4098,V-2AAN,verb second aorist active infinitive,fail
πεσειται,G4098,V-FDI-3S,verb future middle deponent indicative third person singular,fail
πεσετε,G4098,V-2AAM-2P,verb second aorist active imperative second person plural,fail
πεση,G4098,V-2AAS-3S,verb second aorist active subjunctive third person singular,fail
πεσητε,G4098,V-2AAS-2P,verb second aorist active subjunctive second person plural,fail
πεσον,G4098,V-2AAP-NSN,verb second aorist active participle nominative singular neuter,fail
πεσοντα,G4098,V-2AAP-ASM,verb second aorist active participle accusative singular masculine,fail
πεσοντας,G4098,V-2AAP-APM,verb second aorist active participle accusative plural masculine,fail
πεσοντες,G4098,V-2AAP-NPM,verb second aorist active participle nominative plural masculine,fail
πεσουνται,G4098,V-FNI-3P,verb future middle or passive deponent indicative third person plural,fail
πεσων,G4098,V-2AAP-NSM,verb second aorist active participle nominative singular masculine,fail
πεσωσιν,G4098,V-2AAS-3P,verb second aorist active subjunctive third person plural,fail
πετεινα,G4071,N-APN,noun accusative plural neuter,bird
πετεινα,G4071,N-NPN,noun nominative plural neuter,bird
πετεινων,G4071,N-GPN,noun genitive plural neuter,bird
πετηται,G4072,V-PNS-3S,verb present middle or passive deponent subjunctive third person singular,flying
πετομενοις,G4072,V-PNP-DPN,verb present middle or passive deponent participle dative plural neuter,flying
πετομενον,G4072,V-PNP-ASM,verb present middle or passive deponent participle accusative singular masculine,flying
πετομενου,G4072,V-PNP-GSM,verb present middle or passive deponent participle genitive singular masculine,flying
πετομενω,G4072,V-PNP-DSM,verb present middle or passive deponent participle dative singular masculine,flying
πετρα,G4073,N-DSF,noun dative singular feminine,rock
πετρα,G4073,N-NSF,noun nominative singular feminine,rock
πετραι,G4073,N-NPF,noun nominative plural feminine,rock
πετραις,G4073,N-DPF,noun dative plural feminine,rock
πετραν,G4073,N-ASF,noun accusative singular feminine,rock
πετρας,G4073,N-GSF,noun genitive singular feminine,rock
πετρας,G4073,N-APF,noun accusative plural feminine,rock
πετρε,G4074,N-VSM,noun vocative singular masculine,Peter
πετρον,G4074,N-ASM,noun accusative singular masculine,Peter
πετρος,G4074,N-NSM,noun nominative singular masculine,Peter
πετρου,G4074,N-GSM,noun genitive singular masculine,Peter
πετρω,G4074,N-DSM,noun dative singular masculine,Peter
πετρωδες,G4075,A-ASN,adjective accusative singular neuter,stony
πετρωδη,G4075,A-APN,adjective accusative plural neuter,stony
πεφανερωμεθα,G5319,V-RPI-1P,verb perfect passive indicative first person plural,appear
πεφανερωσθαι,G5319,V-RPN,verb perfect passive infinitive,appear
πεφανερωται,G5319,V-RPI-3S,verb perfect passive indicative third person singular,appear
πεφιληκατε,G5368,V-RAI-2P,verb perfect active indicative second person plural,kiss
πεφιμωσο,G5392,V-RPM-2S,verb perfect passive imperative second person singular,muzzle
πεφορτισμενοι,G5412,V-RPP-NPM,verb perfect passive participle nominative plural masculine,lade
πεφυσιωμενοι,G5448,V-RPP-NPM,verb perfect passive participle nominative plural masculine,puff up
πεφυσιωμενων,G5448,V-RPP-GPM,verb perfect passive participle genitive plural masculine,puff up
πεφυτευμενην,G5452,V-RPP-ASF,verb perfect passive participle accusative singular feminine,plant
πεφωτισμενους,G5461,V-RPP-APM,verb perfect passive participle accusative plural masculine,enlighten
πηγαι,G4077,N-NPF,noun nominative plural feminine,fountain
πηγανον,G4076,N-ASN,noun accusative singular neuter,rue
πηγας,G4077,N-APF,noun accusative plural feminine,fountain
πηγη,G4077,N-NSF,noun nominative singular feminine,fountain
πηγη,G4077,N-DSF,noun dative singular feminine,fountain
πηγης,G4077,N-GSF,noun genitive singular feminine,fountain
πηδαλιου,G4079,N-GSN,noun genitive singular neuter,rudder
πηδαλιων,G4079,N-GPN,noun genitive plural neuter,rudder
πηλικοις,G4080,A-DPN,adjective dative plural neuter,how great large
πηλικος,G4080,A-NSM,adjective nominative singular masculine,how great large
πηλον,G4081,N-ASM,noun accusative singular masculine,clay
πηλου,G4081,N-GSM,noun genitive singular masculine,clay
πηραν,G4082,N-ASF,noun accusative singular feminine,scrip
πηρας,G4082,N-GSF,noun genitive singular feminine,scrip
πηχυν,G4083,N-ASM,noun accusative singular masculine,cubit
πηχων,G4083,N-GPM,noun genitive plural masculine,cubit
πιασαι,G4084,V-AAN,verb aorist active infinitive,apprehend
πιασας,G4084,V-AAP-NSM,verb aorist active participle nominative singular masculine,apprehend
πιασωσιν,G4084,V-AAS-3P,verb aorist active subjunctive third person plural,apprehend
πιε,G4095,V-2AAM-2S,verb second aorist active imperative second person singular,drink
πιειν,G4095,V-2AAN,verb second aorist active infinitive,drink
πιεσαι,G4095,V-FDI-2S,verb future middle deponent indicative second person singular,drink
πιεσθε,G4095,V-FDI-2P,verb future middle deponent indicative second person plural,drink
πιεται,G4095,V-FDI-3S,verb future middle deponent indicative third person singular,drink
πιετε,G4095,V-2AAM-2P,verb second aorist active imperative second person plural,drink
πιη,G4095,V-2AAS-3S,verb second aorist active subjunctive third person singular,drink
πιητε,G4095,V-2AAS-2P,verb second aorist active subjunctive second person plural,drink
πιθανολογια,G4086,N-DSF,noun dative singular feminine,enticing words
πικραινεσθε,G4087,V-PPM-2P,verb present passive imperative second person plural,be make bitter
πικρανει,G4087,V-FAI-3S,verb future active indicative third person singular,be make bitter
πικρια,G4088,N-NSF,noun nominative singular feminine,bitterness
πικριας,G4088,N-GSF,noun genitive singular feminine,bitterness
πικρον,G4089,A-ASN,adjective accusative singular neuter,bitter
πικρον,G4089,A-ASM,adjective accusative singular masculine,bitter
πικρως,G4090,ADV,adverb,bitterly
πινακι,G4094,N-DSM,noun dative singular masculine,charger
πινακιδιον,G4093,N-ASN,noun accusative singular neuter,writing table
πινακος,G4094,N-GSM,noun genitive singular masculine,charger
πινει,G4095,V-PAI-3S,verb present active indicative third person singular,drink
πινειν,G4095,V-PAN,verb present active infinitive,drink
πινετε,G4095,V-PAI-2P,verb present active indicative second person plural,drink
πινετω,G4095,V-PAM-3S,verb present active imperative third person singular,drink
πινη,G4095,V-PAS-3S,verb present active subjunctive third person singular,drink
πινητε,G4095,V-PAS-2P,verb present active subjunctive second person plural,drink
πινοντες,G4095,V-PAP-NPM,verb present active participle nominative plural masculine,drink
πινουσιν,G4095,V-PAI-3P,verb present active indicative third person plural,drink
πινω,G4095,V-PAS-1S,verb present active subjunctive first person singular,drink
πινω,G4095,V-PAI-1S,verb present active indicative first person singular,drink
